tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS
benchmarks/files/benchmark-q2-cost/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-cost-sat_dpm.yml	sat	true	TIMEOUT	1800.676306	1800.915521081537	1444.696064		true	10.516413	10.794882434420288	246.124544	989	true	3.563342	3.803047563880682	225.992704	49
benchmark-q2-cost-sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	1800.615049	1801.040168369189	965.029888		true	1.201235	1.4978055143728852	162.734080	185	true	0.58834	0.8348333677276969	155.840512	64
benchmark-q2-cost-sat_grid-meet-sl-2fsc.yml	sat	true	TIMEOUT	1800.886626	1800.9708876078948	11147.141120		true	19.436899	19.71984387282282	1020.227584	609	true	33.019501	33.2594991736114	646.848512	2568
benchmark-q2-cost-sat_maze.yml	sat	true	TIMEOUT	1800.608624	1800.94121921435	182.206464		true	0.532483	0.8024492142722011	157.798400	49	true	135.228023	135.4674406144768	179.294208	18896
benchmark-q2-cost-unsat_dpm.yml	unsat	false	TIMEOUT	1800.68429	1800.918998976238	1445.691392		false	8.447648	8.742835086770356	245.440512	967	false	5.476359	5.723073767498136	225.562624	20
benchmark-q2-cost-unsat_grid-10-sl-4fsc.yml	unsat	false	TIMEOUT	1800.603037	1801.0010450873524	1001.480192		false	1.518852	1.8096012044698	162.160640	234	false	0.762415	1.0031103575602174	156.307456	97
benchmark-q2-cost-unsat_grid-meet-sl-2fsc.yml	unsat	false	TIMEOUT	1800.898642	1800.9508464224637	11147.382784		false	83.962465	84.2705835616216	1019.781120	2720	false	48.002748	48.25274015497416	645.935104	1283
benchmark-q2-cost-unsat_maze.yml	unsat	false	TIMEOUT	1800.620341	1800.908683151938	181.637120		false	1.525541	1.7940138829872012	158.031872	829	TIMEOUT	1800.614693	1800.9338606493548	177.545216	
